,Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Licensed,Stream
8660,LP,Girls Go Wild,0.711,0.868,6.0,-4.363,0.046,0.0482,0.00426,0.0709,0.795,122.029,223427.0,LP - Girls Go Wild (Official Video),Energy TV,11285575.0,53251.0,False,65004487.0
8661,LP,Other People,0.55,0.677,11.0,-4.679,0.0259,0.0842,0.0,0.144,0.489,90.992,244946.0,LP - Other People (Official Video),Energy TV,24349319.0,134592.0,True,72457420.0
8662,LP,Tightrope,0.472,0.823,8.0,-4.192,0.0763,0.134,0.0,0.11,0.41,159.888,218644.0,LP - Tightrope (Official Music Video),LP,84938509.0,570901.0,False,46443031.0
8663,LP,Forever for Now,0.547,0.341,4.0,-10.072,0.0305,0.904,0.00149,0.0953,0.0647,137.052,250120.0,LP - Forever For Now,protectmefromwhatiwant,10335023.0,84375.0,True,29697328.0
8664,LP,Halo - Live,0.424,0.72,9.0,-8.605,0.0534,0.00666,0.0,0.674,0.0523,145.0,445747.0,LP - Halo (Beyonce Cover),LP,116972082.0,546399.0,False,19263266.0
8665,LP,Muddy Waters,0.509,0.484,8.0,-7.802,0.0701,0.394,3.41e-06,0.308,0.249,125.0,228547.0,LP - Muddy Waters (Live),LP,135636706.0,623363.0,False,55827128.0
8666,LP,Recovery,0.518,0.545,10.0,-7.893,0.0385,0.274,2.31e-05,0.183,0.162,75.06,234905.0,LP - Recovery (Official Video),Energy TV,21187362.0,145507.0,True,27201336.0
8667,LMFAO,Party Rock Anthem,0.75,0.727,5.0,-4.21,0.142,0.0189,0.0,0.266,0.359,129.993,262173.0,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",LMFAOVEVO,2252581562.0,11036446.0,True,543246526.0
8668,LMFAO,Sexy And I Know It,0.707,0.861,7.0,-4.225,0.316,0.1,0.0,0.191,0.795,130.021,199480.0,LMFAO - Sexy and I Know It,LMFAOVEVO,955831760.0,5734888.0,True,346448655.0
8669,LMFAO,Shots,0.825,0.856,1.0,-1.912,0.0476,0.00851,1.4e-06,0.127,0.207,128.016,222133.0,LMFAO - Shots ft. Lil Jon,LMFAOVEVO,268090767.0,1089074.0,True,191704554.0
8670,LMFAO,Sorry For Party Rocking,0.6,0.877,5.0,-4.351,0.165,0.00213,0.0,0.413,0.55,133.998,203973.0,LMFAO - Sorry For Party Rocking,LMFAOVEVO,592318446.0,2744625.0,True,92486652.0
8671,LMFAO,Yes,0.73,0.9,7.0,-3.339,0.052,0.0761,0.0,0.238,0.896,128.083,183693.0,LMFAO - Yes,LMFAOVEVO,71389485.0,278442.0,True,48541271.0
8672,LMFAO,Champagne Showers,0.59,0.824,7.0,-3.997,0.386,0.000826,1.11e-06,0.636,0.385,130.086,264080.0,LMFAO - Champagne Showers ft. Natalia Kills,LMFAOVEVO,277115918.0,1129300.0,True,66732972.0
8673,LMFAO,La La La,0.607,0.807,0.0,-6.548,0.126,0.0067,1.18e-06,0.251,0.565,128.046,210560.0,LMFAO - La La La,LMFAOVEVO,99100879.0,332224.0,True,20785978.0
8674,LMFAO,I'm In Miami Bitch,0.944,0.477,6.0,-7.331,0.33,0.00311,6.81e-05,0.109,0.737,127.965,227933.0,LMFAO - I'm In Miami Trick,LMFAOVEVO,41267648.0,102592.0,True,28288578.0
8675,LMFAO,Let The Bass Kick In Miami Girl - The Only Way Is Essex Mix,0.77,0.941,11.0,-4.808,0.0667,0.044,0.00133,0.0482,0.489,128.008,165198.0,Let The Bass Kick In Miami Girl (The Only Way Is Essex Mix),Chuckie - Topic,4468.0,46.0,True,15092931.0
8676,LMFAO,Rock The BeaT,0.893,0.716,0.0,-6.907,0.096,0.301,0.000286,0.2,0.0691,128.013,54373.0,LMFAO - Rock The Beat,TheAlphaAFFe,52140.0,225.0,False,3447302.0
8677,America,A Horse with No Name,0.654,0.506,11.0,-17.18,0.0535,0.686,0.0155,0.155,0.831,123.179,252240.0,America - A Horse With No Name (Official Audio),RHINO,2297205.0,31742.0,True,503532637.0
8678,America,Sister Golden Hair,0.441,0.547,4.0,-12.222,0.0337,0.13,0.000143,0.109,0.716,134.753,199573.0,America - Sister Golden Hair (HQ Original),disc070s,25414160.0,113452.0,False,148097616.0
8679,America,Ventura Highway,0.673,0.581,2.0,-10.205,0.029,0.223,0.000206,0.063,0.818,130.771,211387.0,America - Ventura Highway (1975) | LIVE,Musikladen,2474965.0,20652.0,False,160985238.0
8680,America,Lonely People,0.557,0.473,7.0,-9.294,0.0262,0.261,3.95e-05,0.0658,0.56,79.368,150227.0,America - Lonely People (1975) | LIVE,Musikladen,553188.0,7040.0,True,26268353.0
8681,America,You Can Do Magic,0.859,0.568,4.0,-12.516,0.0387,0.29,0.0,0.31,0.936,129.72,237467.0,America - You Can Do Magic (Official Music Video),AmericaVEVO,19186089.0,150515.0,True,47858922.0
